Name,Year,Duration,Rating
1,1994,2h 22m,R
2,1972,2h 55m,R
3,2008,2h 32m,PG-13
4,1974,3h 22m,R
5,1957,1h 36m,Approved
6,1993,3h 15m,R
7,2003,3h 21m,PG-13
8,1994,2h 34m,R
9,2001,2h 58m,PG-13
10,1966,2h 41m,R
11,1994,2h 22m,PG-13
12,2002,2h 59m,PG-13
13,1999,2h 19m,R
14,2010,2h 28m,PG-13
15,1980,2h 4m,PG
16,1999,2h 16m,R
17,1990,2h 25m,R
18,1975,2h 13m,R
19,2014,2h 49m,PG-13
20,1995,2h 7m,R
21,1946,2h 10m,PG
22,1954,3h 27m,Not Rated
23,1991,1h 58m,R
24,1998,2h 49m,R
25,2002,2h 10m,R
